NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude 52.5   Longitude 13.4
Elevation (meters): Average for one degree lat/lon region = 87   Site = na
Climate zone: 5 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1989 01 01    0.39
1989 01 02    0.64
1989 01 03    0.74
1989 01 04    0.91
1989 01 05    0.54
1989 01 06    0.91
1989 01 07    0.48
1989 01 08    0.36
1989 01 09    0.61
1989 01 10    0.50
1989 01 11    0.66
1989 01 12    1.12
1989 01 13    0.66
1989 01 14    0.63
1989 01 15    0.64
1989 01 16    0.45
1989 01 17    0.59
1989 01 18    0.73
1989 01 19    0.65
1989 01 20    0.87
1989 01 21    0.84
1989 01 22    0.76
1989 01 23    0.88
1989 01 24    1.22
1989 01 25    1.49
1989 01 26    1.53
1989 01 27    1.58
1989 01 28    1.58
1989 01 29    1.08
1989 01 30    0.66
1989 01 31    0.87
1989 02 01    0.97
1989 02 02    0.46
1989 02 03    1.19
1989 02 04    1.69
1989 02 05    1.10
1989 02 06    1.05
1989 02 07    1.22
1989 02 08    2.01
1989 02 09    1.81
1989 02 10    1.58
1989 02 11    2.15
1989 02 12    0.59
1989 02 13    1.37
1989 02 14    0.95
1989 02 15    0.48
1989 02 16    0.90
1989 02 17    2.11
1989 02 18    0.81
1989 02 19    0.71
1989 02 20    1.09
1989 02 21    2.00
1989 02 22    2.53
1989 02 23    0.79
1989 02 24    1.38
1989 02 25    1.69
1989 02 26    1.68
1989 02 27    1.81
1989 02 28    1.56
1989 03 01    1.35
1989 03 02    0.86
1989 03 03    0.63
1989 03 04    1.14
1989 03 05    1.73
1989 03 06    3.02
1989 03 07    3.09
1989 03 08    2.24
1989 03 09    2.21
1989 03 10    2.02
1989 03 11    1.49
1989 03 12    2.85
1989 03 13    1.10
1989 03 14    1.69
1989 03 15    0.86
1989 03 16    2.44
1989 03 17    1.12
1989 03 18    3.21
1989 03 19    2.15
1989 03 20    4.10
1989 03 21    1.48
1989 03 22    1.65
1989 03 23    2.79
1989 03 24    1.07
1989 03 25    2.34
1989 03 26    3.23
1989 03 27    4.42
1989 03 28    3.87
1989 03 29    4.41
1989 03 30    3.32
1989 03 31    2.29
1989 04 01    1.79
1989 04 02    2.71
1989 04 03    3.82
1989 04 04    2.83
1989 04 05    1.42
1989 04 06    2.99
1989 04 07    3.07
1989 04 08    4.15
1989 04 09    4.00
1989 04 10    1.51
1989 04 11    4.03
1989 04 12    4.41
1989 04 13    4.74
1989 04 14    4.70
1989 04 15    3.05
1989 04 16    2.44
1989 04 17    4.10
1989 04 18    3.66
1989 04 19    1.90
1989 04 20    3.08
1989 04 21    4.62
1989 04 22    2.25
1989 04 23    2.24
1989 04 24    3.25
1989 04 25    4.90
1989 04 26    1.60
1989 04 27    1.63
1989 04 28    1.56
1989 04 29    4.57
1989 04 30    4.36
1989 05 01    6.43
1989 05 02    3.38
1989 05 03    3.47
1989 05 04    6.49
1989 05 05    4.99
1989 05 06    4.46
1989 05 07    4.93
1989 05 08    4.86
1989 05 09    5.52
1989 05 10    4.09
1989 05 11    4.42
1989 05 12    3.20
1989 05 13    4.81
1989 05 14    5.13
1989 05 15    6.06
1989 05 16    6.82
1989 05 17    6.78
1989 05 18    6.80
1989 05 19    5.75
1989 05 20    6.41
1989 05 21    7.16
1989 05 22    7.62
1989 05 23    7.75
1989 05 24    7.74
1989 05 25    6.35
1989 05 26    6.28
1989 05 27    6.17
1989 05 28    6.65
1989 05 29    6.22
1989 05 30    5.68
1989 05 31    4.68
1989 06 01    4.15
1989 06 02    2.77
1989 06 03    3.17
1989 06 04    2.32
1989 06 05    5.03
1989 06 06    4.80
1989 06 07    4.10
1989 06 08    3.83
1989 06 09    4.61
1989 06 10    5.94
1989 06 11    2.09
1989 06 12    5.94
1989 06 13    6.73
1989 06 14    5.44
1989 06 15    5.94
1989 06 16    5.52
1989 06 17    4.89
1989 06 18    6.00
1989 06 19    7.96
1989 06 20    7.30
1989 06 21    6.94
1989 06 22    7.59
1989 06 23    4.59
1989 06 24    5.15
1989 06 25    5.81
1989 06 26    5.47
1989 06 27    4.87
1989 06 28    3.90
1989 06 29    4.21
1989 06 30    5.60
1989 07 01    4.42
1989 07 02    3.18
1989 07 03    3.40
1989 07 04    6.47
1989 07 05    6.75
1989 07 06    7.88
1989 07 07    7.48
1989 07 08    4.91
1989 07 09    4.91
1989 07 10    4.26
1989 07 11    7.31
1989 07 12    5.41
1989 07 13    3.67
1989 07 14    3.84
1989 07 15    3.24
1989 07 16    4.64
1989 07 17    4.52
1989 07 18    4.18
1989 07 19    5.36
1989 07 20    2.70
1989 07 21    5.60
1989 07 22    5.54
1989 07 23    5.10
1989 07 24    2.71
1989 07 25    6.95
1989 07 26    4.64
1989 07 27    2.49
1989 07 28    4.79
1989 07 29    5.21
1989 07 30    3.25
1989 07 31    3.36
1989 08 01    4.05
1989 08 02    2.10
1989 08 03    2.24
1989 08 04    2.99
1989 08 05    3.54
1989 08 06    6.62
1989 08 07    2.99
1989 08 08    4.99
1989 08 09    4.09
1989 08 10    3.55
1989 08 11    4.28
1989 08 12    3.21
1989 08 13    4.32
1989 08 14    4.84
1989 08 15    4.95
1989 08 16    4.52
1989 08 17    4.09
1989 08 18    4.73
1989 08 19    5.72
1989 08 20    5.35
1989 08 21    5.47
1989 08 22    4.56
1989 08 23    4.43
1989 08 24    3.48
1989 08 25    2.14
1989 08 26    4.04
1989 08 27    1.10
1989 08 28    1.28
1989 08 29    3.56
1989 08 30    5.01
1989 08 31    5.35
1989 09 01    4.04
1989 09 02    3.10
1989 09 03    3.13
1989 09 04    3.92
1989 09 05    3.34
1989 09 06    4.19
1989 09 07    4.07
1989 09 08    4.95
1989 09 09    4.90
1989 09 10    2.95
1989 09 11    3.04
1989 09 12    4.74
1989 09 13    4.21
1989 09 14    1.66
1989 09 15    3.46
1989 09 16    1.71
1989 09 17    2.82
1989 09 18    4.06
1989 09 19    3.52
1989 09 20    3.14
1989 09 21    3.91
1989 09 22    3.73
1989 09 23    3.09
1989 09 24    2.42
1989 09 25    1.98
1989 09 26    1.36
1989 09 27    2.47
1989 09 28    2.17
1989 09 29    2.44
1989 09 30    2.54
1989 10 01    1.92
1989 10 02    1.45
1989 10 03    3.21
1989 10 04    3.40
1989 10 05    3.33
1989 10 06    1.51
1989 10 07    1.84
1989 10 08    1.26
1989 10 09    1.23
1989 10 10    1.27
1989 10 11    1.09
1989 10 12    0.70
1989 10 13    0.89
1989 10 14    1.86
1989 10 15    1.98
1989 10 16    0.99
1989 10 17    1.94
1989 10 18    2.08
1989 10 19    1.86
1989 10 20    1.67
1989 10 21    1.02
1989 10 22    2.28
1989 10 23    1.58
1989 10 24    1.44
1989 10 25    1.05
1989 10 26    1.33
1989 10 27    1.41
1989 10 28    1.98
1989 10 29    0.98
1989 10 30    0.31
1989 10 31    0.89
1989 11 01    1.06
1989 11 02    1.24
1989 11 03    0.60
1989 11 04    0.98
1989 11 05    1.00
1989 11 06    0.65
1989 11 07    0.55
1989 11 08    1.74
1989 11 09    0.96
1989 11 10    1.48
1989 11 11    1.34
1989 11 12    1.39
1989 11 13    0.62
1989 11 14    0.95
1989 11 15    0.93
1989 11 16    1.37
1989 11 17    1.38
1989 11 18    1.36
1989 11 19    1.34
1989 11 20    1.24
1989 11 21    0.61
1989 11 22    1.09
1989 11 23    1.08
1989 11 24    0.51
1989 11 25    1.05
1989 11 26    0.52
1989 11 27    0.47
1989 11 28    1.13
1989 11 29    1.11
1989 11 30    0.75
1989 12 01    1.18
1989 12 02    1.03
1989 12 03    0.85
1989 12 04    0.70
1989 12 05    0.62
1989 12 06    0.52
1989 12 07    1.12
1989 12 08    0.69
1989 12 09    0.51
1989 12 10    0.91
1989 12 11    0.35
1989 12 12    1.03
1989 12 13    0.47
1989 12 14    0.35
1989 12 15    0.49
1989 12 16    0.22
1989 12 17    0.67
1989 12 18    0.63
1989 12 19    0.63
1989 12 20    0.33
1989 12 21    0.65
1989 12 22    0.43
1989 12 23    0.46
1989 12 24    0.40
1989 12 25    0.75
1989 12 26    0.77
1989 12 27    0.69
1989 12 28    0.58
1989 12 29    0.39
1989 12 30    0.33
1989 12 31    0.32
1990 01 01    0.44
1990 01 02    0.49
1990 01 03    0.58
1990 01 04    0.53
1990 01 05    0.51
1990 01 06    0.91
1990 01 07    0.97
1990 01 08    0.65
1990 01 09    0.37
1990 01 10    0.53
1990 01 11    0.62
1990 01 12    0.65
1990 01 13    1.13
1990 01 14    0.73
1990 01 15    0.50
1990 01 16    0.75
1990 01 17    0.59
1990 01 18    0.69
1990 01 19    0.43
1990 01 20    0.44
1990 01 21    0.42
1990 01 22    0.79
1990 01 23    0.97
1990 01 24    1.03
1990 01 25    0.33
1990 01 26    1.04
1990 01 27    0.70
1990 01 28    0.38
1990 01 29    1.10
1990 01 30    1.03
1990 01 31    0.84
1990 02 01    0.86
1990 02 02    0.62
1990 02 03    1.08
1990 02 04    1.41
1990 02 05    1.71
1990 02 06    1.76
1990 02 07    1.55
1990 02 08    0.59
1990 02 09    0.94
1990 02 10    1.95
1990 02 11    1.11
1990 02 12    1.04
1990 02 13    0.72
1990 02 14    0.81
1990 02 15    0.87
1990 02 16    0.71
1990 02 17    2.24
1990 02 18    1.06
1990 02 19    1.76
1990 02 20    1.86
1990 02 21    2.47
1990 02 22    2.56
1990 02 23    2.62
1990 02 24    2.56
1990 02 25    1.83
1990 02 26    0.82
1990 02 27    1.14
1990 02 28    1.24
1990 03 01    1.13
1990 03 02    1.85
1990 03 03    2.00
1990 03 04    1.16
1990 03 05    0.95
1990 03 06    0.89
1990 03 07    1.13
1990 03 08    1.44
1990 03 09    1.30
1990 03 10    1.54
1990 03 11    2.36
1990 03 12    2.08
1990 03 13    2.58
1990 03 14    1.35
1990 03 15    2.77
1990 03 16    3.82
1990 03 17    3.93
1990 03 18    4.05
1990 03 19    3.81
1990 03 20    2.17
1990 03 21    1.95
1990 03 22    1.54
1990 03 23    2.52
1990 03 24    1.67
1990 03 25    2.38
1990 03 26    2.25
1990 03 27    2.44
1990 03 28    2.94
1990 03 29    3.24
1990 03 30    2.48
1990 03 31    4.22
1990 04 01    4.86
1990 04 02    4.85
1990 04 03    2.94
1990 04 04    3.25
1990 04 05    3.92
1990 04 06    4.44
1990 04 07    4.80
1990 04 08    4.43
1990 04 09    5.47
1990 04 10    5.44
1990 04 11    3.35
1990 04 12    3.77
1990 04 13    3.66
1990 04 14    3.41
1990 04 15    3.43
1990 04 16    3.35
1990 04 17    3.57
1990 04 18    4.16
1990 04 19    3.59
1990 04 20    4.25
1990 04 21    4.73
1990 04 22    4.83
1990 04 23    3.02
1990 04 24    1.98
1990 04 25    2.96
1990 04 26    5.40
1990 04 27    3.30
1990 04 28    4.03
1990 04 29    4.85
1990 04 30    3.89
1990 05 01    6.80
1990 05 02    7.03
1990 05 03    6.78
1990 05 04    6.81
1990 05 05    6.80
1990 05 06    6.60
1990 05 07    6.70
1990 05 08    5.11
1990 05 09    4.66
1990 05 10    4.59
1990 05 11    4.76
1990 05 12    2.98
1990 05 13    4.63
1990 05 14    3.28
1990 05 15    3.17
1990 05 16    4.03
1990 05 17    3.92
1990 05 18    4.19
1990 05 19    4.67
1990 05 20    5.45
1990 05 21    5.29
1990 05 22    5.41
1990 05 23    5.47
1990 05 24    5.36
1990 05 25    5.20
1990 05 26    4.78
1990 05 27    4.40
1990 05 28    5.48
1990 05 29    4.78
1990 05 30    6.09
1990 05 31    4.81
1990 06 01    6.89
1990 06 02    3.29
1990 06 03    4.43
1990 06 04    2.90
1990 06 05    2.67
1990 06 06    4.56
1990 06 07    3.97
1990 06 08    2.62
1990 06 09    2.11
1990 06 10    1.94
1990 06 11    4.56
1990 06 12    4.79
1990 06 13    5.46
1990 06 14    4.11
1990 06 15    3.63
1990 06 16    3.28
1990 06 17    3.42
1990 06 18    6.73
1990 06 19    5.93
1990 06 20    4.82
1990 06 21    5.29
1990 06 22    3.28
1990 06 23    4.55
1990 06 24    5.17
1990 06 25    3.21
1990 06 26    5.31
1990 06 27    5.33
1990 06 28    5.29
1990 06 29    5.05
1990 06 30    4.35
1990 07 01    4.65
1990 07 02    4.21
1990 07 03    5.27
1990 07 04    5.69
1990 07 05    2.87
1990 07 06    3.22
1990 07 07    4.90
1990 07 08    3.41
1990 07 09    4.67
1990 07 10    4.08
1990 07 11    5.23
1990 07 12    5.09
1990 07 13    5.46
1990 07 14    6.64
1990 07 15    6.64
1990 07 16    6.16
1990 07 17    4.10
1990 07 18    4.19
1990 07 19    3.98
1990 07 20    6.02
1990 07 21    6.15
1990 07 22    6.98
1990 07 23    3.70
1990 07 24    2.91
1990 07 25    3.41
1990 07 26    4.52
1990 07 27    5.82
1990 07 28    6.32
1990 07 29    2.78
1990 07 30    5.79
1990 07 31    5.52
1990 08 01    6.19
1990 08 02    6.97
1990 08 03    7.07
1990 08 04    6.97
1990 08 05    4.29
1990 08 06    4.50
1990 08 07    5.53
1990 08 08    4.98
1990 08 09    2.10
1990 08 10    2.40
1990 08 11    3.99
1990 08 12    5.40
1990 08 13    4.49
1990 08 14    4.54
1990 08 15    4.49
1990 08 16    2.61
1990 08 17    3.66
1990 08 18    2.84
