NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude 45.78   Longitude 126.54
Elevation (meters): Average for one degree lat/lon region = 204   Site = na
Climate zone: 7 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day)

YEAR MO DY swv_dwn
1989 01 01    1.89
1989 01 02    1.90
1989 01 03    1.52
1989 01 04    1.66
1989 01 05    1.90
1989 01 06    1.75
1989 01 07    1.77
1989 01 08    1.53
1989 01 09    0.92
1989 01 10    1.41
1989 01 11    1.58
1989 01 12    1.54
1989 01 13    1.79
1989 01 14    1.63
1989 01 15    1.50
1989 01 16    1.93
1989 01 17    1.88
1989 01 18    2.33
1989 01 19    2.35
1989 01 20    1.90
1989 01 21    2.09
1989 01 22    1.93
1989 01 23    2.22
1989 01 24    2.22
1989 01 25    1.85
1989 01 26    2.12
1989 01 27    2.07
1989 01 28    2.36
1989 01 29    2.80
1989 01 30    2.25
1989 01 31    2.90
1989 02 01    2.41
1989 02 02    2.20
1989 02 03    2.80
1989 02 04    2.64
1989 02 05    2.84
1989 02 06    2.74
1989 02 07    2.21
1989 02 08    2.91
1989 02 09    2.85
1989 02 10    2.70
1989 02 11    2.73
1989 02 12    3.24
1989 02 13    3.43
1989 02 14    3.61
1989 02 15    2.67
1989 02 16    3.69
1989 02 17    3.77
1989 02 18    3.55
1989 02 19    3.32
1989 02 20    2.81
1989 02 21    2.82
1989 02 22    3.23
1989 02 23    4.23
1989 02 24    4.33
1989 02 25    4.33
1989 02 26    3.57
1989 02 27    2.56
1989 02 28    4.16
1989 03 01    4.04
1989 03 02    2.22
1989 03 03    1.69
1989 03 04    4.49
1989 03 05    3.85
1989 03 06    3.21
1989 03 07    3.66
1989 03 08    4.00
1989 03 09    4.03
1989 03 10    4.37
1989 03 11    4.71
1989 03 12    5.04
1989 03 13    5.20
1989 03 14    4.31
1989 03 15    4.78
1989 03 16    3.59
1989 03 17    5.17
1989 03 18    4.81
1989 03 19    4.22
1989 03 20    2.89
1989 03 21    5.40
1989 03 22    5.65
1989 03 23    4.16
1989 03 24    4.81
1989 03 25    5.83
1989 03 26    4.10
1989 03 27    6.21
1989 03 28    5.31
1989 03 29    6.24
1989 03 30    3.78
1989 03 31    3.87
1989 04 01    5.09
1989 04 02    3.09
1989 04 03    5.85
1989 04 04    4.63
1989 04 05    6.20
1989 04 06    5.41
1989 04 07    4.22
1989 04 08    5.96
1989 04 09    6.13
1989 04 10    6.03
1989 04 11    6.44
1989 04 12    6.65
1989 04 13    6.32
1989 04 14    3.91
1989 04 15    5.78
1989 04 16    5.19
1989 04 17    4.06
1989 04 18    5.50
1989 04 19    7.27
1989 04 20    4.47
1989 04 21    2.59
1989 04 22    5.39
1989 04 23    4.67
1989 04 24    7.46
1989 04 25    6.61
1989 04 26    6.66
1989 04 27    7.78
1989 04 28    7.54
1989 04 29    6.98
1989 04 30    6.73
1989 05 01    6.29
1989 05 02    3.51
1989 05 03    6.05
1989 05 04    7.16
1989 05 05    7.06
1989 05 06    6.25
1989 05 07    7.74
1989 05 08    5.71
1989 05 09    4.90
1989 05 10    7.83
1989 05 11    4.96
1989 05 12    5.68
1989 05 13    2.66
1989 05 14    6.56
1989 05 15    7.06
1989 05 16    4.64
1989 05 17    7.92
1989 05 18    5.16
1989 05 19    5.50
1989 05 20    6.17
1989 05 21    7.75
1989 05 22    7.15
1989 05 23    5.18
1989 05 24    6.85
1989 05 25    6.86
1989 05 26    7.54
1989 05 27    6.92
1989 05 28    8.66
1989 05 29    8.68
1989 05 30    6.94
1989 05 31    8.93
1989 06 01    6.22
1989 06 02    5.56
1989 06 03    3.10
1989 06 04    5.39
1989 06 05    3.58
1989 06 06    7.49
1989 06 07    7.50
1989 06 08    5.06
1989 06 09    3.51
1989 06 10    2.81
1989 06 11    5.99
1989 06 12    3.33
1989 06 13    2.72
1989 06 14    2.90
1989 06 15    5.75
1989 06 16    2.83
1989 06 17    4.32
1989 06 18    6.86
1989 06 19    7.63
1989 06 20    7.52
1989 06 21    4.60
1989 06 22    8.61
1989 06 23    5.35
1989 06 24    5.94
1989 06 25    8.04
1989 06 26    7.66
1989 06 27    6.87
1989 06 28    6.72
1989 06 29    3.84
1989 06 30    4.96
1989 07 01    4.30
1989 07 02    4.98
1989 07 03    6.62
1989 07 04    7.10
1989 07 05    6.97
1989 07 06    6.33
1989 07 07    6.24
1989 07 08    1.61
1989 07 09    3.90
1989 07 10    6.04
1989 07 11    6.09
1989 07 12    4.13
1989 07 13    6.82
1989 07 14    6.64
1989 07 15    3.45
1989 07 16    5.31
1989 07 17    6.09
1989 07 18    2.28
1989 07 19    3.14
1989 07 20    3.26
1989 07 21    5.63
1989 07 22    4.79
1989 07 23    1.95
1989 07 24    4.43
1989 07 25    6.32
1989 07 26    7.21
1989 07 27    6.20
1989 07 28    7.06
1989 07 29    4.89
1989 07 30    7.08
1989 07 31    7.13
1989 08 01    7.64
1989 08 02    7.94
1989 08 03    7.90
1989 08 04    7.75
1989 08 05    6.74
1989 08 06    6.53
1989 08 07    7.00
1989 08 08    6.35
1989 08 09    7.77
1989 08 10    5.01
1989 08 11    3.86
1989 08 12    3.87
1989 08 13    7.61
1989 08 14    7.41
1989 08 15    6.80
1989 08 16    3.48
1989 08 17    7.28
1989 08 18    6.82
1989 08 19    5.22
1989 08 20    2.51
1989 08 21    4.66
1989 08 22    6.70
1989 08 23    6.30
1989 08 24    5.74
1989 08 25    5.21
1989 08 26    2.22
1989 08 27    5.88
1989 08 28    3.72
1989 08 29    5.89
1989 08 30    4.92
1989 08 31    5.60
1989 09 01    1.89
1989 09 02    4.05
1989 09 03    4.42
1989 09 04    4.90
1989 09 05    3.34
1989 09 06    5.05
1989 09 07    4.79
1989 09 08    6.33
1989 09 09    5.16
1989 09 10    1.33
1989 09 11    1.68
1989 09 12    5.86
1989 09 13    5.93
1989 09 14    3.39
1989 09 15    5.89
1989 09 16    5.67
1989 09 17    5.28
1989 09 18    2.94
1989 09 19    2.83
1989 09 20    5.47
1989 09 21    2.28
1989 09 22    3.66
1989 09 23    1.53
1989 09 24    5.00
1989 09 25    5.13
1989 09 26    3.15
1989 09 27    1.41
1989 09 28    4.44
1989 09 29    4.45
1989 09 30    4.48
1989 10 01    4.91
1989 10 02    4.87
