NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude 62.4   Longitude -77.9
Elevation (meters): Average for one degree lat/lon region = 63   Site = na
Climate zone: 8 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day)

YEAR MO DY swv_dwn
1989 01 01    0.12
1989 01 02    0.09
1989 01 03    0.10
1989 01 04    0.11
1989 01 05    0.09
1989 01 06    0.15
1989 01 07    0.14
1989 01 08    0.11
1989 01 09    0.12
1989 01 10    0.15
1989 01 11    0.15
1989 01 12    0.14
1989 01 13    0.19
1989 01 14    0.20
1989 01 15    0.22
1989 01 16    0.17
1989 01 17    0.22
1989 01 18    0.25
1989 01 19    0.20
1989 01 20    0.26
1989 01 21    0.20
1989 01 22    0.23
1989 01 23    0.26
1989 01 24    0.29
1989 01 25    0.46
1989 01 26    0.35
1989 01 27    0.38
1989 01 28    0.38
1989 01 29    0.27
1989 01 30    0.37
1989 01 31    0.47
1989 02 01    0.37
1989 02 02    0.55
1989 02 03    0.45
1989 02 04    0.55
1989 02 05    0.53
1989 02 06    0.37
1989 02 07    0.31
1989 02 08    0.28
1989 02 09    0.46
1989 02 10    0.72
1989 02 11    0.09
1989 02 12    0.09
1989 02 13    1.21
1989 02 14    0.85
1989 02 15    1.14
1989 02 16    0.83
1989 02 17    0.57
1989 02 18    0.59
1989 02 19    1.08
1989 02 20    0.75
1989 02 21    0.85
1989 02 22    0.94
1989 02 23    0.25
1989 02 24    1.63
1989 02 25    1.36
1989 02 26    1.58
1989 02 27    1.29
1989 02 28    0.81
1989 03 01    1.18
1989 03 02    1.74
1989 03 03    1.69
1989 03 04    1.30
1989 03 05    1.59
1989 03 06    2.03
1989 03 07    1.83
1989 03 08    0.88
1989 03 09    1.84
1989 03 10    1.86
1989 03 11    2.03
1989 03 12    1.30
1989 03 13    2.16
1989 03 14    1.57
1989 03 15    1.75
1989 03 16    2.01
1989 03 17    2.14
1989 03 18    2.38
1989 03 19    1.95
1989 03 20    1.33
1989 03 21    1.56
1989 03 22    2.54
1989 03 23    1.39
1989 03 24    3.42
1989 03 25    2.70
1989 03 26    2.87
1989 03 27    2.90
1989 03 28    2.70
1989 03 29    2.80
1989 03 30    3.71
1989 03 31    3.71
1989 04 01    3.30
1989 04 02    1.76
1989 04 03    4.04
1989 04 04    4.29
1989 04 05    4.94
1989 04 06    4.08
1989 04 07    4.63
1989 04 08    3.85
1989 04 09    4.47
1989 04 10    4.42
1989 04 11    3.03
1989 04 12    3.07
1989 04 13    4.56
1989 04 14    3.50
1989 04 15    2.77
1989 04 16    2.63
1989 04 17    4.42
1989 04 18    2.95
1989 04 19    1.68
1989 04 20    3.59
1989 04 21    2.42
1989 04 22    1.60
1989 04 23    4.38
1989 04 24    3.46
1989 04 25    6.05
1989 04 26    5.63
1989 04 27    4.52
1989 04 28    4.13
1989 04 29    2.46
1989 04 30    5.01
1989 05 01    4.60
1989 05 02    3.10
1989 05 03    5.68
1989 05 04    4.25
1989 05 05    5.78
1989 05 06    3.69
1989 05 07    5.60
1989 05 08    4.22
1989 05 09    6.04
1989 05 10    4.58
1989 05 11    2.65
1989 05 12    3.54
1989 05 13    2.94
1989 05 14    7.38
1989 05 15    4.18
1989 05 16    3.41
1989 05 17    6.02
1989 05 18    4.35
1989 05 19    6.42
1989 05 20    5.23
1989 05 21    6.69
1989 05 22    6.53
1989 05 23    5.58
1989 05 24    4.07
1989 05 25    4.69
1989 05 26    4.81
1989 05 27    3.62
1989 05 28    6.19
1989 05 29    3.84
1989 05 30    5.69
1989 05 31    4.19
1989 06 01    3.32
1989 06 02    2.36
1989 06 03    4.02
1989 06 04    3.67
1989 06 05    4.35
1989 06 06    4.00
1989 06 07    7.24
1989 06 08    3.65
1989 06 09    6.83
1989 06 10    7.02
1989 06 11    5.20
1989 06 12    7.63
1989 06 13    7.07
1989 06 14    8.20
1989 06 15    8.06
1989 06 16    5.35
1989 06 17    4.18
