NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude -2.2   Longitude -65.7
Elevation (meters): Average for one degree lat/lon region = 55   Site = na
Climate zone: 1 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day)

YEAR MO DY swv_dwn
1989 01 01    3.79
1989 01 02    3.65
1989 01 03    1.74
1989 01 04    2.61
1989 01 05    5.00
1989 01 06    4.47
1989 01 07    6.08
1989 01 08    5.89
1989 01 09    5.38
1989 01 10    1.79
1989 01 11    2.53
1989 01 12    4.61
1989 01 13    2.22
1989 01 14    5.10
1989 01 15    6.01
1989 01 16    2.32
1989 01 17    4.22
1989 01 18    6.28
1989 01 19    4.59
1989 01 20    4.26
1989 01 21    4.05
1989 01 22    3.95
1989 01 23    4.85
1989 01 24    4.05
1989 01 25    5.65
1989 01 26    3.33
1989 01 27    2.43
1989 01 28    4.10
1989 01 29    3.97
1989 01 30    3.69
1989 01 31    4.52
1989 02 01    3.48
1989 02 02    5.28
1989 02 03    5.51
1989 02 04    2.41
1989 02 05    5.90
1989 02 06    5.89
1989 02 07    2.27
1989 02 08    5.40
1989 02 09    3.33
1989 02 10    2.07
1989 02 11    4.82
1989 02 12    3.82
1989 02 13    2.25
1989 02 14    4.15
1989 02 15    5.25
1989 02 16    4.42
1989 02 17    3.05
1989 02 18    3.22
1989 02 19    4.78
1989 02 20    5.64
1989 02 21    6.14
1989 02 22    5.85
1989 02 23    3.85
1989 02 24    3.71
1989 02 25    4.81
1989 02 26    2.94
1989 02 27    4.18
1989 02 28    3.70
1989 03 01    6.41
1989 03 02    1.74
1989 03 03    5.44
1989 03 04    2.88
1989 03 05    2.61
1989 03 06    3.33
1989 03 07    5.12
1989 03 08    4.68
1989 03 09    2.91
1989 03 10    5.62
1989 03 11    6.02
1989 03 12    5.84
1989 03 13    0.71
1989 03 14    5.30
1989 03 15    3.06
1989 03 16    4.17
1989 03 17    4.27
1989 03 18    4.71
1989 03 19    4.93
1989 03 20    3.52
1989 03 21    3.37
1989 03 22    5.11
1989 03 23    6.42
1989 03 24    5.58
1989 03 25    3.64
1989 03 26    6.37
1989 03 27    6.40
1989 03 28    3.62
1989 03 29    2.21
1989 03 30    3.98
1989 03 31    4.17
1989 04 01    6.41
1989 04 02    2.37
1989 04 03    6.20
1989 04 04    5.35
1989 04 05    3.82
1989 04 06    6.11
1989 04 07    4.36
1989 04 08    4.04
1989 04 09    4.74
1989 04 10    5.80
1989 04 11    4.96
1989 04 12    3.68
1989 04 13    4.74
1989 04 14    5.83
1989 04 15    3.81
1989 04 16    2.12
1989 04 17    4.94
1989 04 18    6.73
1989 04 19    5.61
1989 04 20    5.13
1989 04 21    2.53
1989 04 22    4.25
1989 04 23    5.60
1989 04 24    5.67
1989 04 25    3.12
1989 04 26    3.39
1989 04 27    2.54
1989 04 28    4.98
1989 04 29    4.51
1989 04 30    3.49
1989 05 01    4.61
1989 05 02    3.47
1989 05 03    2.98
1989 05 04    5.71
1989 05 05    5.87
1989 05 06    4.87
1989 05 07    2.50
1989 05 08    2.57
1989 05 09    2.73
1989 05 10    2.68
1989 05 11    4.03
1989 05 12    4.88
1989 05 13    5.93
1989 05 14    5.29
1989 05 15    4.11
1989 05 16    3.43
1989 05 17    5.47
1989 05 18    3.07
1989 05 19    3.16
1989 05 20    4.45
1989 05 21    3.96
1989 05 22    1.96
1989 05 23    3.53
1989 05 24    3.61
1989 05 25    4.16
1989 05 26    4.67
1989 05 27    2.73
1989 05 28    5.24
1989 05 29    4.43
1989 05 30    4.22
1989 05 31    3.94
1989 06 01    2.63
1989 06 02    3.53
1989 06 03    3.90
1989 06 04    4.26
1989 06 05    4.17
1989 06 06    4.55
1989 06 07    4.90
1989 06 08    4.52
1989 06 09    5.12
1989 06 10    4.14
1989 06 11    5.01
1989 06 12    4.87
1989 06 13    1.91
1989 06 14    3.46
1989 06 15    5.16
1989 06 16    4.26
1989 06 17    2.08
1989 06 18    3.96
1989 06 19    4.24
1989 06 20    2.64
1989 06 21    2.53
1989 06 22    4.20
1989 06 23    4.22
1989 06 24    3.69
1989 06 25    4.09
1989 06 26    4.74
1989 06 27    5.69
1989 06 28    4.76
1989 06 29    4.13
1989 06 30    4.95
1989 07 01    2.60
1989 07 02    5.29
1989 07 03    5.37
1989 07 04    4.21
1989 07 05    2.36
1989 07 06    2.44
1989 07 07    2.94
1989 07 08    3.03
1989 07 09    3.40
1989 07 10    5.81
1989 07 11    3.09
1989 07 12    3.92
1989 07 13    3.86
1989 07 14    4.60
1989 07 15    2.78
1989 07 16    3.99
1989 07 17    4.47
1989 07 18    3.45
1989 07 19    2.65
1989 07 20    4.37
1989 07 21    1.65
1989 07 22    4.39
1989 07 23    4.40
1989 07 24    4.89
1989 07 25    5.46
1989 07 26    5.18
1989 07 27    6.02
1989 07 28    5.64
1989 07 29    6.72
1989 07 30    6.58
1989 07 31    6.66
1989 08 01    6.13
1989 08 02    6.10
1989 08 03    3.40
1989 08 04    6.24
1989 08 05    6.00
1989 08 06    5.93
1989 08 07    4.16
1989 08 08    4.62
1989 08 09    6.11
1989 08 10    3.46
1989 08 11    1.69
1989 08 12    5.41
1989 08 13    4.81
1989 08 14    2.54
1989 08 15    5.32
1989 08 16    2.14
1989 08 17    5.25
1989 08 18    6.25
1989 08 19    5.19
1989 08 20    4.34
1989 08 21    6.09
1989 08 22    6.54
1989 08 23    6.38
1989 08 24    6.66
1989 08 25    4.12
1989 08 26    4.24
1989 08 27    6.44
1989 08 28    5.49
