NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude 37.54   Longitude 126.96
Elevation (meters): Average for one degree lat/lon region = 122   Site = na
Climate zone: 5 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1989 01 01    3.13
1989 01 02    0.88
1989 01 03    3.19
1989 01 04    3.08
1989 01 05    3.08
1989 01 06    1.09
1989 01 07    0.95
1989 01 08    0.81
1989 01 09    1.09
1989 01 10    1.10
1989 01 11    0.91
1989 01 12    1.32
1989 01 13    2.33
1989 01 14    3.14
1989 01 15    2.96
1989 01 16    2.09
1989 01 17    2.49
1989 01 18    1.13
1989 01 19    1.58
1989 01 20    2.62
1989 01 21    3.32
1989 01 22    2.29
1989 01 23    1.37
1989 01 24    2.40
1989 01 25    2.68
1989 01 26    1.99
1989 01 27    3.25
1989 01 28    4.02
1989 01 29    2.77
1989 01 30    2.69
1989 01 31    2.17
1989 02 01    4.13
1989 02 02    3.81
1989 02 03    3.84
1989 02 04    4.23
1989 02 05    4.09
1989 02 06    3.84
1989 02 07    2.65
1989 02 08    1.51
1989 02 09    3.23
1989 02 10    4.23
1989 02 11    3.51
1989 02 12    3.76
1989 02 13    4.13
1989 02 14    3.96
1989 02 15    1.59
1989 02 16    3.78
1989 02 17    2.52
1989 02 18    3.33
1989 02 19    4.33
1989 02 20    3.89
1989 02 21    3.86
1989 02 22    4.40
1989 02 23    1.82
1989 02 24    3.49
1989 02 25    1.09
1989 02 26    4.75
1989 02 27    3.21
1989 02 28    4.27
1989 03 01    5.20
1989 03 02    1.31
1989 03 03    0.61
1989 03 04    3.56
1989 03 05    3.14
1989 03 06    4.53
1989 03 07    4.80
1989 03 08    5.33
1989 03 09    4.91
1989 03 10    4.74
1989 03 11    4.12
1989 03 12    2.42
1989 03 13    3.63
1989 03 14    4.16
1989 03 15    5.63
1989 03 16    3.93
1989 03 17    5.98
1989 03 18    4.44
1989 03 19    5.66
1989 03 20    3.08
1989 03 21    5.78
1989 03 22    5.88
1989 03 23    2.62
1989 03 24    2.88
1989 03 25    6.08
1989 03 26    5.95
1989 03 27    5.26
1989 03 28    5.71
1989 03 29    6.17
1989 03 30    3.14
1989 03 31    5.02
1989 04 01    5.99
1989 04 02    6.14
1989 04 03    6.11
1989 04 04    6.23
1989 04 05    5.91
1989 04 06    6.05
1989 04 07    4.52
1989 04 08    6.59
1989 04 09    6.02
1989 04 10    7.07
1989 04 11    6.73
1989 04 12    6.68
1989 04 13    6.72
1989 04 14    2.85
1989 04 15    5.51
1989 04 16    3.75
1989 04 17    2.46
1989 04 18    4.60
1989 04 19    4.89
1989 04 20    6.05
1989 04 21    6.81
1989 04 22    3.19
1989 04 23    5.43
1989 04 24    7.45
1989 04 25    7.21
1989 04 26    2.82
1989 04 27    7.04
1989 04 28    7.26
